qs1,qs2,qs3,qs4,qs5,merge1,partition_sort
0.04119563102722168,0.06089329719543457,0.05922198295593262,0.06049323081970215,0.06142401695251465,0.06263351440429688,0.028116941452026367
0.0398402214050293,0.06150388717651367,0.05785846710205078,0.06452059745788574,0.0660712718963623,0.061792850494384766,0.028224945068359375
0.03879857063293457,0.06067180633544922,0.061803340911865234,0.061847686767578125,0.06134152412414551,0.061068058013916016,0.028099775314331055
0.038133859634399414,0.0601811408996582,0.061833858489990234,0.05907773971557617,0.06151413917541504,0.061189889907836914,0.028361797332763672
0.03815722465515137,0.0590052604675293,0.05987954139709473,0.06029105186462402,0.05952310562133789,0.06111574172973633,0.028290748596191406
0.04028773307800293,0.05841207504272461,0.0610203742980957,0.06135916709899902,0.05980491638183594,0.06115388870239258,0.02825331687927246
0.039110422134399414,0.05755138397216797,0.05996108055114746,0.05965781211853027,0.06068110466003418,0.062310218811035156,0.02846527099609375
0.038811445236206055,0.05980491638183594,0.05996966361999512,0.0634760856628418,0.05889320373535156,0.06110191345214844,0.028388500213623047
0.03804445266723633,0.05934596061706543,0.05886340141296387,0.058950185775756836,0.058400869369506836,0.0616755485534668,0.028071165084838867
0.03780865669250488,0.05867290496826172,0.057573556900024414,0.0636129379272461,0.05966901779174805,0.061806440353393555,0.028740644454956055
0.03812241554260254,0.06372690200805664,0.059766292572021484,0.06475973129272461,0.058650970458984375,0.06119537353515625,0.028392314910888672
0.03831124305725098,0.06253385543823242,0.05829596519470215,0.06531953811645508,0.06325840950012207,0.061367034912109375,0.02817225456237793
0.03837776184082031,0.06484317779541016,0.05831718444824219,0.06003975868225098,0.0664374828338623,0.06123089790344238,0.02830052375793457
0.038100242614746094,0.05707669258117676,0.058789730072021484,0.06387686729431152,0.06914162635803223,0.0609893798828125,0.02823662757873535
0.038665056228637695,0.05809164047241211,0.06268835067749023,0.06411099433898926,0.06696414947509766,0.06112098693847656,0.028061628341674805
0.038495540618896484,0.05725288391113281,0.05877208709716797,0.05948972702026367,0.06260895729064941,0.061098337173461914,0.028517484664916992
0.038628339767456055,0.06220531463623047,0.06079244613647461,0.06074881553649902,0.06399750709533691,0.06304478645324707,0.02819204330444336
0.0379033088684082,0.05761003494262695,0.05839657783508301,0.06262040138244629,0.06206154823303223,0.06389307975769043,0.0282137393951416
0.03839921951293945,0.057778120040893555,0.05748152732849121,0.06077456474304199,0.06076502799987793,0.06593108177185059,0.028181791305541992
0.037673234939575195,0.05935192108154297,0.06003236770629883,0.06333088874816895,0.06807446479797363,0.06480121612548828,0.028116226196289062
0.03841805458068848,0.06721901893615723,0.0600438117980957,0.062406063079833984,0.06983399391174316,0.06282806396484375,0.028271913528442383
0.039435386657714844,0.0632927417755127,0.05816984176635742,0.06539297103881836,0.06592679023742676,0.06276845932006836,0.028306245803833008
0.038945913314819336,0.061815738677978516,0.058277130126953125,0.060092926025390625,0.06297087669372559,0.06261897087097168,0.028372526168823242
0.03855466842651367,0.06160926818847656,0.059480905532836914,0.057810068130493164,0.06118297576904297,0.062001705169677734,0.02834773063659668
0.0376279354095459,0.05895090103149414,0.058591365814208984,0.05847024917602539,0.05930733680725098,0.06151843070983887,0.028159379959106445
0.03898191452026367,0.06031513214111328,0.05711865425109863,0.059148311614990234,0.05839252471923828,0.0610504150390625,0.027935266494750977
0.03962540626525879,0.06424355506896973,0.058712005615234375,0.06455206871032715,0.05841541290283203,0.06112504005432129,0.028248071670532227
0.04064059257507324,0.061423540115356445,0.05804753303527832,0.06148386001586914,0.05846691131591797,0.061348676681518555,0.028258562088012695
0.04253363609313965,0.05878329277038574,0.060140132904052734,0.06670999526977539,0.057585954666137695,0.061235904693603516,0.028202295303344727
0.041909217834472656,0.06064748764038086,0.05892491340637207,0.06111955642700195,0.05963468551635742,0.06113553047180176,0.028277158737182617
